task,pi_pass,ptc_pass,delta,pi_partial,ptc_partial,pi_f2p,ptc_f2p,pi_p2p,ptc_p2p,pi_cost,ptc_cost,pi_active_s,ptc_active_s,pi_input,ptc_input,pi_output,ptc_output
anko-default-function-arguments,1.0,0.3333333333333333,0.6666666666666667,1.0,0.9862258953168044,1.0,0.5,1.0,0.9943977591036415,0.49605254,0.10525411800000001,3910.9554100000005,1835.2280139999998,53184631.0,13451502.0,312546.0,167486.0
bandit-structured-nosec-directives,0.0,0.0,0.0,0.9905033238366571,0.8679962013295347,0.9758454106280193,0.3333333333333333,0.9940898345153665,0.9988179669030733,0.162739606,0.06491986999999999,1956.4348100000002,1164.873515,15249832.0,8307051.0,176061.0,116571.0
clack-async-autocomplete-options,0.3333333333333333,0.0,0.3333333333333333,0.9981609195402298,0.989425287356322,0.983739837398374,0.9796747967479674,1.0,0.9906687402799378,0.223469704,0.11968074199999999,2065.427762,1898.4898939999998,10880684.0,14455299.0,177437.0,156701.0
claude-code-by-agents-recursive-delegation,0.6666666666666666,0.6666666666666666,0.0,0.956140350877193,0.9912280701754387,0.7619047619047619,0.9523809523809524,1.0,1.0,0.13142867,0.097598126,1205.853705,1438.22517,8383076.0,13315541.0,108797.0,116902.0
happy-dom-deterministic-intersectionobserver,0.6666666666666666,0.6666666666666666,0.0,0.9855072463768115,0.9855072463768115,0.9761904761904763,0.9761904761904763,1.0,1.0,0.295920864,0.154705852,2343.0380649999997,2427.772262,23693812.0,20858565.0,205738.0,182553.0
ink-grid-box-layout,1.0,0.3333333333333333,0.6666666666666667,1.0,0.8828828828828829,1.0,0.6533333333333333,1.0,1.0,0.32584544,0.198894558,2988.937714,3935.4046910000006,18264857.0,31656479.0,203455.0,281351.0
koota-pair-relation-tracking,1.0,0.0,1.0,1.0,0.8190476190476191,1.0,0.0,1.0,1.0,0.6740494059999999,0.06900946799999999,3271.5146760000002,988.720687,51911683.0,5439792.0,279326.0,93249.0
langchain-request-coalescing,0.6666666666666666,0.0,0.6666666666666666,0.9988179669030733,0.9373522458628841,0.9933333333333333,0.6466666666666666,1.0,1.0,0.356857172,0.148973094,2860.1622079999997,2158.616674,27088344.0,28299658.0,219284.0,185087.0
numba-stencil-boundary-modes,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.9996105919003115,0.9863707165109035,0.9885057471264368,0.5977011494252874,1.0,1.0,0.4667146999999999,0.13270009800000002,2940.5273740000002,1908.0021000000002,33538114.0,21385754.0,221323.0,142386.0
obsidian-linter-scoped-ignore-markers,1.0,0.0,1.0,1.0,0.9716981132075472,1.0,0.0,1.0,1.0,0.48194596999999995,0.036502826,3235.45705,713.95173,27959583.0,1927329.0,230895.0,66213.0
oxvg-structural-selector-preservation,0.0,0.0,0.0,0.6519607843137255,0.6078431372549019,0.5555555555555555,0.0,0.6612903225806451,0.6666666666666666,0.83801132,0.19374128399999999,5277.463055,3127.8609690000003,83696499.0,30819682.0,293537.0,252859.0
psd-tools-blend-range-api,1.0,0.6666666666666666,0.33333333333333337,1.0,0.9977213541666666,1.0,0.9481481481481482,1.0,1.0,0.25950445,0.096717154,2032.9292659999999,1162.462569,22622104.0,11398947.0,152929.0,115007.0
pwntools-tube-multiplexing,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.9864864864864865,0.34234234234234234,0.9863013698630136,0.3333333333333333,1.0,1.0,0.258668734,0.07945442,2727.013201,1205.374653,10911906.0,8696122.0,201143.0,124693.0
query-persist-restored-query-state,0.6666666666666666,1.0,-0.33333333333333337,0.9933333333333333,1.0,0.9583333333333334,1.0,1.0,1.0,0.39248873,0.192620496,2034.462521,4046.828939,20995382.0,25900279.0,138054.0,127722.0
scriggo-method-declarations,0.3333333333333333,0.0,0.3333333333333333,0.98359161349134,0.9574597386812519,0.625,0.027777777777777776,1.0,1.0,1.172800428,0.10204949799999999,7146.329808,1492.882587,117403700.0,16682792.0,525021.0,97443.0
tengo-destructuring-bindings,1.0,0.3333333333333333,0.6666666666666667,1.0,0.7309417040358744,1.0,0.3406593406593406,1.0,1.0,0.564437556,0.10825810799999999,3148.300018,1498.163497,43416997.0,15223187.0,226545.0,115990.0
testem-per-launcher-reports,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.162711998,0.13387474,2301.587588,1818.651214,12219045.0,14950256.0,119517.0,125771.0
textual-richlog-follow-state,0.6666666666666666,0.0,0.6666666666666666,0.9871794871794872,0.358974358974359,0.9833333333333334,0.16666666666666666,1.0,1.0,0.22871293199999998,0.077584768,2237.1431190000003,1217.0227419999999,20201448.0,10252671.0,191369.0,86145.0
updo-policy-alerting,0.0,0.0,0.0,0.9857142857142858,0.9785714285714286,0.8823529411764706,0.823529411764706,1.0,1.0,0.158575432,0.104067932,1583.066252,1504.437262,9149716.0,13844653.0,123229.0,120068.0
ytt-jsonpath-query-api,1.0,0.6666666666666666,0.33333333333333337,1.0,0.6698717948717948,1.0,0.6666666666666666,1.0,1.0,0.18241838,0.096643272,2203.698005,3618.459433,8499576.0,13060775.0,184125.0,176214.0
